,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
171,wright-state,85,Southern,62,60,.483,14,.143,28,.893,36,7,7,8,80.00,72,.333,15,.267,15,.667,37,5,2,12,0
172,wright-state,92,Mississippi-Valley-State,50,72,.486,26,.269,27,.556,54,4,3,16,80.00,77,.260,22,.182,8,.750,40,7,1,16,0
173,wright-state,79,Toledo,72,62,.419,18,.278,28,.786,41,8,4,11,63.60,67,.388,29,.276,18,.667,38,8,3,11,1
174,Green-Bay,84,wright-state,90,64,.453,26,.385,21,.762,29,7,2,8,0,64,.453,25,.440,35,.600,42,2,4,15,80.00
175,Milwaukee,70,wright-state,82,56,.482,19,.263,17,.647,26,9,1,16,0,56,.536,19,.579,19,.579,33,2,1,17,80.00
176,wright-state,96,Oakland,69,63,.571,19,.474,20,.750,36,8,3,13,63.60,60,.433,18,.167,18,.778,24,10,5,16,1
177,Detroit,69,wright-state,70,58,.483,20,.350,10,.600,34,5,8,12,1,69,.362,17,.353,21,.667,38,8,5,8,63.60
178,wright-state,84,IUPUI,70,69,.420,23,.391,32,.531,46,6,8,9,63.60,57,.333,23,.217,40,.675,36,5,2,12,1
179,UIC,76,wright-state,72,59,.492,11,.273,18,.833,36,7,4,19,1,66,.364,24,.292,28,.607,32,12,7,13,63.60
180,wright-state,75,Cleveland-State,62,63,.429,20,.400,24,.542,37,6,6,14,80.00,60,.383,9,.333,23,.565,41,7,2,15,0
181,arizona,91,Northern-Arizona,52,61,.541,23,.391,20,.800,35,9,3,7,80.00,54,.315,18,.333,17,.706,27,0,2,19,0
182,arizona,90,Illinois,69,61,.557,16,.438,22,.682,32,14,3,16,80.00,53,.472,16,.313,20,.700,25,4,2,22,0
183,San-Jose-State,39,arizona,87,61,.230,18,.111,18,.500,32,4,1,16,0,62,.484,18,.444,28,.679,47,6,4,8,80.00
184,arizona,83,New-Mexico-State,53,57,.526,21,.476,15,.867,31,6,6,12,80.00,55,.327,30,.300,13,.615,27,2,1,18,0
185,South-Dakota-State,64,arizona,71,47,.468,19,.368,19,.684,29,6,3,21,0,53,.434,17,.176,30,.733,32,7,3,15,80.00
186,arizona,104,Long-Beach-State,67,64,.578,24,.500,27,.667,29,15,3,15,80.00,59,.407,21,.286,23,.565,28,3,0,21,0
187,arizona,93,Pepperdine,91,56,.607,20,.550,24,.583,28,6,3,17,38.50,59,.508,27,.481,19,.947,26,6,1,15,1
188,Penn,82,arizona,92,60,.450,34,.382,23,.652,23,2,1,9,1,58,.586,13,.462,21,.857,30,6,2,8,38.50
189,arizona,73,Wake-Forest,66,58,.431,16,.375,24,.708,38,4,5,11,38.50,59,.322,16,.313,26,.885,34,5,3,9,1
190,arizona,58,Baylor,63,52,.269,18,.111,34,.824,32,9,6,16,38.50,56,.304,24,.250,28,.821,40,9,9,16,1
191,Omaha,49,arizona,99,64,.266,16,.313,13,.769,28,3,2,14,0,66,.576,26,.462,16,.688,43,4,6,9,80.00
